Date,MSFT,NVDA,QQQ
2020-01-01,161.26211547851562,5.884145736694336,
2020-02-01,153.47518920898438,6.72136116027832,
2020-03-01,149.8097686767578,6.564261436462402,
2020-04-01,170.23275756835938,7.278461933135986,
2020-05-01,174.0703887939453,8.840836524963379,
2020-06-01,193.85385131835938,9.46065616607666,
2020-07-01,195.28269958496094,10.578115463256836,
2020-08-01,214.8290557861328,13.328346252441406,
2020-09-01,200.83457946777344,13.483807563781738,
2020-10-01,193.32943725585938,12.494483947753906,
2020-11-01,204.40576171875,13.359247207641602,
2020-12-01,212.93482971191406,13.013842582702637,
2021-01-01,222.06800842285156,12.952621459960938,
2021-02-01,222.4700927734375,13.675301551818848,
2021-03-01,226.23538208007812,13.310094833374023,
2021-04-01,241.98175048828125,14.97176456451416,
2021-05-01,239.5828399658203,16.20366096496582,
2021-06-01,260.5449523925781,19.952211380004883,
2021-07-01,274.0193786621094,19.454429626464844,
2021-08-01,290.3406982421875,22.333839416503906,
2021-09-01,271.6628112792969,20.672298431396484,
2021-10-01,319.5545654296875,25.513065338134766,
2021-11-01,318.5619201660156,32.60706329345703,
2021-12-01,324.67645263671875,29.348953247070312,
2022-01-01,300.2137451171875,24.43733787536621,
2022-02-01,288.4457092285156,24.336538314819336,
2022-03-01,298.25152587890625,27.23177146911621,
2022-04-01,268.4660949707031,18.513296127319336,
2022-05-01,263.00042724609375,18.63806915283203,
2022-06-01,249.0297393798828,15.131451606750488,
2022-07-01,272.2135925292969,18.133827209472656,
2022-08-01,253.52880859375,15.069754600524902,
2022-09-01,226.30584716796875,12.119500160217285,
2022-10-01,225.55767822265625,13.479324340820312,
2022-11-01,247.91619873046875,16.900835037231445,
2022-12-01,233.68667602539062,14.598594665527344,
2023-01-01,241.47230529785156,19.516407012939453,
2023-02-01,243.04115295410156,23.191526412963867,
2023-03-01,281.6304016113281,27.747716903686523,
2023-04-01,300.1518249511719,27.724454879760742,
2023-05-01,320.79302978515625,37.800537109375,
2023-06-01,333.38916015625,42.26457977294922,
2023-07-01,328.8661193847656,46.692501068115234,
2023-08-01,320.87750244140625,49.31645202636719,
2023-09-01,309.774169921875,43.46501922607422,
2023-10-01,331.71099853515625,40.75150680541992,
2023-11-01,371.7387390136719,46.73731994628906,
2023-12-01,369.6719055175781,49.48739242553711,
2024-01-01,390.8471374511719,61.489410400390625,
2024-02-01,406.6351623535156,79.06367492675781,
2024-03-01,414.3601379394531,90.3008041381836,
2024-04-01,383.4446716308594,86.35327911376953,
2024-05-01,408.8546142578125,109.57115173339844,
2024-06-01,440.9875793457031,123.47032165527344,
2024-07-01,412.7691345214844,116.9636001586914,
2024-08-01,411.5752868652344,119.31246948242188,
2024-09-01,425.3249206542969,121.38148498535156,
2024-10-01,401.65185546875,132.70738220214844,
2024-11-01,418.56402587890625,138.19520568847656,
2024-12-01,417.46063232421875,134.2367706298828,
2025-01-01,411.0823059082031,120.03067016601562,
2025-02-01,393.18548583984375,124.87907409667969,
2025-03-01,372.5379943847656,108.34449768066406,
2025-04-01,392.2570495605469,108.89433288574219,
2025-05-01,456.8624267578125,135.09817504882812,
2025-06-01,494.5372009277344,157.95278930664062,
2025-07-01,530.418701171875,177.84043884277344,
2025-08-01,503.7635803222656,174.1510467529297,
2025-09-01,515.8051147460938,186.5489959716797,
2025-10-01,515.6656494140625,202.4677734375,
2025-11-01,489.9725341796875,176.98056030273438,
2025-12-01,482.5186767578125,186.4795379638672,
